TweetID,From User,Tweet
274204621289963520,latigonabrooke,"RT @Derek_Swindles: #tbt study hall junior year with @latigonabrooke #swag #MrSpeck http://t.co/Lpzjh8qS"
274204600012251136,CashGangDrickz,"I dnt even b matchin nomo #swag"
274204592458326018,crazycalvinio,"#cool #swagie #swag #YOLO #snow #lookslikeimeoutsifebutimnot #throwback #throwbackthursday#emma#alberta #dim http://t.co/6Uqdgh7d"
274204581540556801,KidrauhlPotter,"comi um pouco de brigadeiro e depois vou pegar mais escodido #vidaloka #sóquenão #diverssão #swag"
274204573655261184,EzraZionCigars,"RT @RobbyRas: #CigarChat with @Cigardivat of @JDCigars today at 4PM PST http://t.co/4JvonAxY Many a sampler to giveaway! #SWAG @LoganatDell"
274204569561624576,Henny_Hardaway,"#swag RT @Team_Danii: The Chinese spot by my house literally delivers in less than 15 mins !!"
274204568798240769,BillyLeConche,"@j_parent05 im on that #FaveSquad #Swag #AllDay"
274204562473238529,FenerYandex,"Try application #aoret2.tk to add followers,retweets,favorites #FollowMe #InstantFollow #Openfollow #F4F #jfb #TFB #swag #FF 99697"
274204561688891393,gauss_ThaPeLo,"#swag ""@_LuckyRock: Judging by my slow TL today everyone has a job besides me :("""
274204547201765376,KageJohnson,"@e_lynn09 @hannagrace1 duh 😎 #swag #expert"
274204544207048705,boyxdanny,"geezuz christ, my hair was so long. #tbt #throwbackthursday #college #2010 #faggot #swag http://t.co/S1vdNRjr"
274204526318350336,sarahchildress2,"@AustinMahone only you can pull this off #SWAG http://t.co/pOUmLqJ2"
274204510472257537,SydneySteinbach,"""@canadianbabyy: I wear crocs. #swag"" #Swag was actually from the 80s and was made by homos. stands fot: Secrectly we are gay. look it up"
274204508362522625,GRaPHiCLLYTuNeD,"#tbt justin24008 and I one #christmas a few #years back. We had the matching #kicks. #brothers #love #swag http://t.co/KlvAURgP"
274204506852569088,SirV_Neck,"😼💵🌲 #swag"
274204475672117248,tomvinij,"take off yo swag, watch this vid > http://t.co/QcIzzyHD and #GETCOMFORTABLE with @SabaPIVOT  #pivot #swag"
274204456323776512,Spacesinaline,"#swag laaa @tiru_05 @danishisawesome @chronicboner14 http://t.co/dFW4WJvk"
274204452641193984,KaneDean93,"Whatup mother fuckers chillin at home for a bit #swag"
274204449273176064,dukster57,"@WiebeSunSports Will Bombers now get their #Swag back ?!!!"
274204446764965888,_alheelunaa,"Cuándo Te Tengo Cerca Me Dan Ganas De Abrazarte'! #Swag"
274204428733673472,andydrayveur,"Je vais au entrainement si tu veut me parler tcheck moi 06(**qqq #swag. PtdrR"
274204424317067264,FOCUZPatrone,"#Swag"
274204420605087745,Joseph_Mooree,"RT @GeorgeKWalton: It's official, I'm goin gay. #swag"
274204400778620929,A2000Hill,"@TParisien2 nice #lookinfresh #swag #swerrrrve Haha"
274204395967750144,Allison_Sebagg,"@LeDucRudyAttia @dadou1608 bryan comme prénom alors #swag"
274204372244766720,ashleeg187,"Wale make me want to get dreads he keep to so well kept #swag"
274204356755214336,StefMontserrat,"RT @Elpocho_skeet: hoy no va ver nada mas que puro #swag sobre un esenario en sendero lincoln"
274204354691616768,EugenioAbreu,"Cine: Coke Calculator... Thats just my life! http://t.co/y6CKLtZ5 #Yolo #Swag #Jagger #EPN"
274204348643418112,kirstenkellz,"#sexyandiknowit #butterfly #hairclip #swag #fashion http://t.co/paARr3O0"
274204341643145217,Melilouuu,"Pourquoi elle prend pas une couverture ? On en parle ? #swag http://t.co/Vk3p0TuK"
274204329370583041,tweetit_Jules,"I wanna die my hair purple sure it's a little crazy but crazy is as crazy does<3 #swag #crazy http://t.co/g6tRgtL4"
274204329056026624,seilerse,"Senior year #tbt #neon #swag http://t.co/TVG2SqD8"
274204311263793152,JaniseeJB,"#swag #smile #hair #bored xD http://t.co/NCoW44Aq"
274204267592699904,KasperVeltman,"Chapsel bijgewerkt. Weer fresh. #swag"
274204257769623553,Stephenwarrior1,"RT @marshalldjuric: O clima aqui no Lubango está maravilhoso... estás em casa A.C... Vais pra rua A.C #swag"
274204241323769856,mimperati86,"This Swag-a-saurus Rex's ass must be freezing. #swag http://t.co/2H77vsjk"
274204228203974656,SidneyNeto_,"#me #instaboy #Instagood #soprafarra #comigoeassim #Swag #instacaralhoa4 #good http://t.co/IgUwH82P"
274204223200194560,Derek_Swindles,"#tbt study hall junior year with @latigonabrooke #swag #MrSpeck http://t.co/Lpzjh8qS"
274204221270790145,Hileud_AspaL26,"Try application #aoret2.tk to add followers,retweets,favorites #FollowMe #InstantFollow #Openfollow #F4F #jfb #TFB #swag #FF 45810"
274204218653556736,TheDrewPeterson,"A little old lady just asked how I get my hair like this. I am the envy of all the old ladies. #swag http://t.co/wmJV0a9n"
274204206292955136,CalvRio,"Reppin' McDonalds WiFi 2K12 yeyeye #swag"
274204204258701312,gergelyalexa,"Most így nyomom. #oversized #shirt #swag #jj #instagood #igaddict http://t.co/CQxV7cZJ"
274204190585274368,supremexlove,"Clown shit. #selfshot #self #swag #dope #style #comme #beats #denim #obey #snapback #queens #fashion http://t.co/Dn7Ax3MN"
274204189922557952,treyweber,"RT @theFISHxSLAYER: SeaLevel ad now up on http://t.co/1LfEFCFu #swag #GetOnSeaLevel http://t.co/wnVKwHpT"
274204170565844992,4ngelo5carfone,"15¢ an hour? ight coool RT""@ninapee: Spending Christmas break applying to jobs in buenos aires. #swag"""
274204146570252289,Elpocho_skeet,"hoy no va ver nada mas que puro #swag sobre un esenario en sendero lincoln"
